25 Black Spots in the State of Andhra Pradesh,,,,,,
"S.No.","Name of theDistrict","Juridiction/Police Station","Location of accidents includingchainage (km to km)","NHNo.","No offatalities(2008 to2010)","Reasons for frequentaccidents"
1,Srikakulam,Etcheria,Navabharath Junction,16,12,
2,West Godavari,Tanuku Rural,Tetali 'Y' Junction,16,22,
3,do,Eluru Rural,ASRAM Hospital,16,19,
4,do,Chebrolu,Kaikaram Center,16,16,
5,Nellore,Kaavali,Maddurpadu,16,40,
6,Kurnool,Papili,Enugumarri Village,44,25,
7,do,Orvakal,Pudicherlametta,40,23,
8,do,Dhone,"Bharath Petrol Bunk, NearUngaraanikunta Village",44,34,
9,Karimnagar,Koratla,"Arora Junior College, Koratla",63,36,
10,Medak,"ZaheerabadTown",Palpanooru 'X' Road,65,29,
11,Medak,Zaheerabad To,Near RTA Checkpost area,65,23,
12,Medak,"SangareddyRural",Pothireddy Palli,65,14,
13,Nizamabad,Sadasiva Naga,Adluru Yellareddy 'T' Junction,44,14,
14,do,Balakonda,Balakonda Junction,44,44,
15,do,Aarmur,Perkiti 'X' Road,63,18,
16,Adilbad,Jaipur,Indaram,63,18,
17,Cyberabad,Rajendra Naga,Gangagpahad,44,17,
18,do,Chaitanyapuri,Kothapeta 'X' Road,65,28,
19,do,Uppal,Uppal 'X' Road,163,44,
20,do,Medchal,Medchal,44,54,
21,do,Miyapur,Miyapur,65,23,
22,Mahabubnagar,Kothur,Thimmapur Village,44,18,
23,do,Kodandapur,Vemula Stage,44,32,
24,Nalgonda,Chouluppal,"Veliminada Bridge, Near Hanuman",65,34,
25,do,do,Pedakaparthy Bus Stage,65,28,
